crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	2167	0.000000
281474976710655.000000	139.492615	2168	0.000000
281474976710655.000000	143.879181	2169	0.000000
281474976710655.000000	Inf	2170	0.000000
281474976710655.000000	Inf	2171	0.000000
281474976710655.000000	134.281387	2172	0.000000
281474976710655.000000	132.741821	2173	0.000000
281474976710655.000000	133.265854	2174	0.000000
281474976710655.000000	125.660240	2175	0.000000
281474976710655.000000	125.764969	2176	0.000000
281474976710655.000000	116.422462	2177	0.000000
281474976710655.000000	Inf	2178	0.000000
281474976710655.000000	Inf	2179	0.000000
281474976710655.000000	115.937080	2180	0.000000
281474976710655.000000	74.617477	2181	0.000000
281474976710655.000000	117.004166	2182	0.000000
281474976710655.000000	Inf	2183	0.000000
281474976710655.000000	108.479752	2184	0.000000
281474976710655.000000	Inf	2185	0.000000
281474976710655.000000	52.481049	2186	0.000000
281474976710655.000000	54.381905	2187	0.000000
281474976710655.000000	100.835320	2188	0.000000
281474976710655.000000	101.509636	2189	0.000000
281474976710655.000000	104.820213	2190	0.000000
281474976710655.000000	94.551918	2191	0.000000
281474976710655.000000	62.351021	2192	0.000000
281474976710655.000000	60.337418	2193	0.000000
281474976710655.000000	89.735260	2194	0.000000
281474976710655.000000	59.700691	2195	0.000000
281474976710655.000000	78.677933	2196	0.000000
281474976710655.000000	174.024307	2197	0.000000
281474976710655.000000	42.343624	2198	0.000000
281474976710655.000000	81.626892	2199	0.000000
281474976710655.000000	81.900414	2200	0.000000
281474976710655.000000	52.056816	2201	0.000000
281474976710655.000000	75.458641	2202	0.000000
281474976710655.000000	70.759575	2203	0.000000
281474976710655.000000	Inf	2204	0.000000
281474976710655.000000	53.905666	2205	0.000000
281474976710655.000000	139.709747	2206	0.000000
281474976710655.000000	70.659286	2207	0.000000
281474976710655.000000	73.163437	2208	0.000000
281474976710655.000000	52.389488	2209	0.000000
281474976710655.000000	44.169415	2210	0.000000
281474976710655.000000	62.122345	2211	0.000000
281474976710655.000000	41.733128	2212	0.000000
281474976710655.000000	41.847748	2213	0.000000
281474976710655.000000	59.813274	2214	0.000000
281474976710655.000000	61.520134	2215	0.000000
281474976710655.000000	44.011635	2216	0.000000
281474976710655.000000	54.796242	2217	0.000000
281474976710655.000000	44.431938	2218	0.000000
281474976710655.000000	36.327763	2219	0.000000
281474976710655.000000	54.818024	2220	0.000000
281474976710655.000000	39.576839	2221	0.000000
281474976710655.000000	55.511185	2222	0.000000
281474976710655.000000	72.082809	2223	0.000000
281474976710655.000000	40.861313	2224	0.000000
281474976710655.000000	53.834293	2225	0.000000
281474976710655.000000	67.139771	2226	0.000000
281474976710655.000000	54.393604	2227	0.000000
281474976710655.000000	45.061710	2228	0.000000
281474976710655.000000	46.234055	2229	0.000000
281474976710655.000000	41.869785	2230	0.000000
281474976710655.000000	35.653080	2231	0.000000
281474976710655.000000	38.762936	2232	0.000000
281474976710655.000000	50.392281	2233	0.000000
281474976710655.000000	38.189842	2234	0.000000
281474976710655.000000	36.676414	2235	0.000000
281474976710655.000000	33.729191	2236	0.000000
281474976710655.000000	33.971420	2237	0.000000
281474976710655.000000	34.842186	2238	0.000000
281474976710655.000000	37.331627	2239	0.000000
281474976710655.000000	34.192219	2240	0.000000
281474976710655.000000	35.696270	2241	0.000000
281474976710655.000000	30.076214	2242	0.000000
281474976710655.000000	29.147699	2243	0.000000
281474976710655.000000	32.023487	2244	0.000000
281474976710655.000000	32.324780	2245	0.000000
281474976710655.000000	28.785461	2246	0.000000
281474976710655.000000	32.691952	2247	0.000000
281474976710655.000000	30.126183	2248	0.000000
281474976710655.000000	27.229010	2249	0.000000
281474976710655.000000	28.095642	2250	0.000000
281474976710655.000000	26.592930	2251	0.000000
281474976710655.000000	25.808329	2252	0.000000
281474976710655.000000	23.195429	2253	0.000000
281474976710655.000000	25.475586	2254	0.000000
281474976710655.000000	21.900869	2255	0.000000
281474976710655.000000	23.071213	2256	0.000000
281474976710655.000000	24.038357	2257	0.000000
281474976710655.000000	23.291960	2258	0.000000
281474976710655.000000	22.350866	2259	0.000000
281474976710655.000000	20.875231	2260	0.000000
281474976710655.000000	21.104471	2261	0.000000
281474976710655.000000	20.660902	2262	0.000000
281474976710655.000000	22.509132	2263	0.000000
281474976710655.000000	19.508385	2264	0.000000
281474976710655.000000	18.885044	2265	0.000000
281474976710655.000000	18.702778	2266	0.000000
281474976710655.000000	18.340420	2267	0.000000
281474976710655.000000	17.776226	2268	0.000000
281474976710655.000000	17.489212	2269	0.000000
281474976710655.000000	16.809158	2270	0.000000
281474976710655.000000	17.024521	2271	0.000000
281474976710655.000000	16.031998	2272	0.000000
281474976710655.000000	15.989734	2273	0.000000
281474976710655.000000	15.329498	2274	0.000000
281474976710655.000000	14.601512	2275	0.000000
281474976710655.000000	15.045506	2276	0.000000
281474976710655.000000	14.889402	2277	0.000000
281474976710655.000000	14.763713	2278	0.000000
281474976710655.000000	13.787683	2279	0.000000
281474976710655.000000	12.910126	2280	0.000000
