num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4361	6491.324486	66.980683	-2.872838	-0.317206	12.232164
4363	6502.504395	92.968506	1.428237	-0.464986	123.182983
4365	6504.580974	91.681400	1.328100	-0.459096	125.331866
4367	6506.665690	90.340189	1.223125	-0.471178	126.162552
4369	6508.750824	90.174099	1.338915	-0.480072	116.446749
4371	6510.827409	90.006674	1.529561	-0.473396	120.468290
4373	6512.903190	89.043154	1.476535	-0.463112	110.373555
4375	6514.980948	88.061033	1.397964	-0.461378	117.958244
4377	6517.062440	87.267685	1.472766	-0.466644	113.054081
4379	6519.145822	86.514694	1.502962	-0.469279	107.114246
4381	6521.227873	85.667879	1.550317	-0.470097	107.581145
