num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
627	2410.639702	101.650920	-21.232843	3.759570	9.917498
629	2417.750019	103.249742	-2.700329	3.661914	120.553771
631	2419.835112	101.154203	-2.642858	3.662913	114.535803
633	2421.918315	98.338683	-2.819414	3.668867	112.910389
635	2424.004639	95.636536	-2.975872	3.665786	105.303212
637	2426.091926	92.954260	-2.947954	3.663461	102.999791
639	2428.177886	90.365905	-2.982220	3.663835	95.343664
641	2430.263517	87.971225	-3.072445	3.664547	87.491459
643	2432.348634	85.301497	-3.131181	3.662262	83.546274
645	2434.434331	82.830507	-3.277241	3.664913	80.399988
647	2436.518775	80.128525	-3.307522	3.661320	74.602795
649	2438.602561	77.974241	-3.338984	3.660310	71.514702
651	2440.686224	75.333327	-3.351576	3.655786	67.679083
653	2442.771624	72.636730	-3.358839	3.658012	62.241107
655	2444.859682	70.332309	-3.411426	3.662958	59.122192
657	2446.945519	68.213144	-3.494990	3.662493	56.023010
659	2449.026953	65.959275	-3.510342	3.656458	53.373895
661	2451.111078	63.464092	-3.448775	3.653252	49.419045
663	2453.197722	61.215885	-3.473703	3.655575	45.936260
665	2455.284498	59.225080	-3.502463	3.658104	41.813000
667	2457.369972	57.059301	-3.528972	3.656455	39.819902
669	2459.455447	55.092326	-3.533913	3.653562	36.460371
671	2461.540155	53.045712	-3.524843	3.652935	35.403640
673	2463.625564	51.083924	-3.530987	3.651065	31.893180
675	2465.708432	49.293170	-3.519387	3.651269	31.011773
677	2467.790517	47.461389	-3.523467	3.653781	26.478394
679	2469.872729	45.499797	-3.545633	3.656556	24.862672
681	2471.958585	43.529365	-3.527858	3.652958	23.880899
683	2474.046475	42.028374	-3.464375	3.648982	20.190364
685	2476.134296	40.633051	-3.401816	3.646488	20.133522
687	2478.217044	39.175189	-3.351121	3.648761	18.712321
689	2480.298270	37.656508	-3.317534	3.651829	16.605164
691	2482.380360	36.157866	-3.278022	3.652342	15.065174
693	2484.464784	34.639756	-3.217862	3.650221	14.374210
695	2486.549879	33.303339	-3.151694	3.648975	13.596462
697	2488.634374	31.920512	-3.065775	3.647469	12.226150
699	2490.721214	30.620555	-2.985698	3.646590	11.334386
701	2492.807196	29.387345	-2.892198	3.651708	10.533567
